total_params,changed_params,change_ops,group,sample_count,correct_trials,total_trials,trial_accuracy
5,1,2,semantic,1,24,25,0.9600000000
5,1,2,nonsemantic,4,60,100,0.6000000000
5,2,2,semantic,4,89,100,0.8900000000
5,2,2,nonsemantic,2,38,50,0.7600000000
6,2,2,semantic,3,59,75,0.7866666667
6,2,2,nonsemantic,1,16,25,0.6400000000
6,2,3,semantic,1,15,25,0.6000000000
6,2,3,nonsemantic,1,16,25,0.6400000000
6,4,5,semantic,1,15,25,0.6000000000
6,4,5,nonsemantic,1,15,25,0.6000000000
7,2,2,semantic,7,156,175,0.8914285714
7,2,2,nonsemantic,1,15,25,0.6000000000
7,5,5,semantic,1,25,25,1.0000000000
7,5,5,nonsemantic,2,35,50,0.7000000000
8,2,2,semantic,2,48,50,0.9600000000
8,2,2,nonsemantic,1,18,25,0.7200000000
8,6,6,semantic,1,23,25,0.9200000000
8,6,6,nonsemantic,1,23,25,0.9200000000
9,4,4,semantic,2,39,50,0.7800000000
9,4,4,nonsemantic,1,15,25,0.6000000000
10,2,2,semantic,1,21,25,0.8400000000
10,2,2,nonsemantic,2,30,50,0.6000000000
10,3,4,semantic,1,15,25,0.6000000000
10,3,4,nonsemantic,1,15,25,0.6000000000
11,2,3,semantic,1,15,25,0.6000000000
11,2,3,nonsemantic,1,15,25,0.6000000000
